director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,imdb_score
Joel Hopkins,94,Emma Thompson,266588202014, Comedy,Pierce Brosnan,The Love Punch,Timothy Spall,1,divorced couple|diamond|pension fund|caper|middle aged couple,,2014,5.7
Daniel Schechter,98,Yasiin Bey,261695192014, Comedy | Crime,Jennifer Aniston,Life of Crime,Isla Fisher,1,kidnapping|kidnapper|f word|home invasion|abduction,12000000,2014,5.8
Jeremy Saulnier,90,Devin Ratray,258113202014, Crime | Drama | Thriller,Macon Blair,Blue Ruin,Amy Hargreaves,0,vengeance|written by director|vomiting|neo noir|car,1066167,2014,7.1
Kelly Reichardt,112,Dakota Fanning,25290312014, Drama | Thriller,Jesse Eisenberg,Night Moves,Peter Sarsgaard,1,organic farming|paranoia|guilt|explosion|environmentalist,,2014,6.0
Ram Gopal Varma,116,Atul Kulkarni,248346222013, Action | Drama | Thriller,Nana Patekar,The Attacks of 26/11,Ganesh Yadav,0,,,2013,6.8
Terry Gilliam,107,Lucas Hedges,21943832014, Drama | Fantasy | Sci-Fi,Christoph Waltz,The Zero Theorem,Mélanie Thierry,0,zero|computer|absurdism|reference to god|beach ball,8500000,2014,6.1
Anil Sharma,134,Urvashi Rautela,210940292013, Action | Drama,Sunny Deol,Singh Saab the Great,Prakash Raj,0,sikh|villain turns good|redemption|remorse|news reporter,300000000,2013,5.9
David Gordon Green,94,Emile Hirsch,204951152013, Comedy | Drama,Paul Rudd,Prince Avalanche,Lance LeGault,0,road worker|painting road lines|highway|hairy chest|bare chested male,725000,2013,6.4
Raj Kumar Gupta,137,Vidya Balan,20304452013, Comedy | Crime | Thriller,Emraan Hashmi,Ghanchakkar,Rajesh Sharma,0,robbery|reference to shahrukh khan|reference to salman khan|man in underwear|subway,,2013,5.7
Richard Ayoade,93,Mia Wasikowska,200268152014, Comedy | Drama | Thriller,Jesse Eisenberg,The Double,Wallace Shawn,0,double|office cubicle|employer employee relationship|lookalike|co worker,,2014,6.5
Sebastián Silva,98,Gaby Hoffmann,19070462013, Adventure | Comedy | Romance,Michael Cera,Crystal Fairy & the Magical Cactus and 2012,Juan Andrés Silva,1,hallucinogen|reference to aldous huxley|beach|desert|chile,,2014,5.8
Alejandro Jodorowsky,133,Pamela Flores,189500202014, Biography | Drama | Fantasy,Brontis Jodorowsky,La danza de la realidad,Jeremias Herskovits,0,male frontal nudity|male nudity|father son relationship|written by director|chile northern,3000000,2013,7.6
Lukas Moodysson,102,Mira Grosin,18022252014, Drama | Music,Mira Barkhammar,Vi är bäst!,Liv LeMoyne,0,1980s|punk|based on graphic novel|based on comic|based on comic book,,2014,7.2
Jill Soloway,98,Link Ruiz,174496202013, Comedy | Drama,Kathryn Hahn,Afternoon Delight,Cesar Garcia,0,nanny|stripper|lesbian kiss|bare breasts|male star appears nude,,2013,5.8
Stu Zicherman,88,Richard Jenkins,17234412013, Comedy,Adam Scott,A.C.O.D.,Catherine O'Hara,1,divorce|children|reference to the importance of being earnest|knocking in a car window|necklace,,2013,5.7
Ron Maxwell,120,Lucy Boynton,17174092013, Drama,François Arnaud,Copperhead,Casey Thomas Brown,0,,12000000,2013,5.5
Randy Moore,90,Elena Schuber,169719152013, Drama | Fantasy | Horror,Roy Abramsohn,Escape from Tomorrow,Katelynn Rodriguez,0,middle aged man|sexy nurse|sex scene|female nudity|diarrhea,,2014,5.2
Rafa Lara,125,Angélica Aragón,169379172013, Drama | History | War,Christian Vazquez,"Cinco de Mayo, La Batalla",Liz Gallardo,0,,10000000,2013,6.2
Alexandre Aja,120,Juno Temple,16448072014, Drama | Fantasy | Horror | Thriller,Daniel Radcliffe,Horns,Max Minghella,1,female nudity|male frontal nudity|horns|childhood flashback|supernatural,,2014,6.5
Erik Matti,118,Gerald Anderson,161217112013, Action | Crime | Drama | Thriller,Piolo Pascual,On the Job,Joel Torre,0,,,2013,7.0
Paolo Virzì,111,Matilde Gioli,157336102015, Drama,Fabrizio Bentivoglio,Il capitale umano,Valeria Bruni Tedeschi,0,italy|male nudity|male frontal nudity|psychologist|real estate agent,6000000,2014,7.3
Vince Offer,83,Lindsay Lohan,156414222013, Comedy,Adrien Brody,InAPPropriate Comedy,Michelle Rodriguez,0,state flag|scene during end credits|lesbian kiss|shooting with two guns|cigarette smoking,,2014,2.9
Declan Lowney,90,Colm Meaney,152211162014, Comedy | Crime,Steve Coogan,Alan Partridge: Alpha Papa,Tim Key,1,alan partridge|radio station|police|siege|radio dj,,2014,7.0
Wayne Holloway,102,Richard Blake,152200272013, Sport,Jesse Williams,Snake & Mongoose,Ashley Grace,0,,,2013,5.7
Andrew Dosunmu,107,Isaach De Bankolé,14540082013, Drama,Danai Gurira,Mother of George,Anthony Okungbowa,0,two word title|punctuation in title|apostrophe in title|character name in title,750000,2013,6.4
Navaniat Singh,129,Jaswinder Bhalla,139074242013, Action | Comedy | Drama | Romance,Binnu Dhillon,Rangeelay,Rana Ranbir,0,,,2013,4.9
Ari Folman,122,Harvey Keitel,13781572014, Animation | Drama | Sci-Fi,Robin Wright,The Congress,Jon Hamm,1,satire|dystopia|cinema|actress|airstream trailer,34148170,2014,6.5
Gary Lundgren,90,Tom Skerritt,132297122014, Drama,Shirley Knight,Redwood Highway,Danforth Comins,0,oregon|journey|retirement|happiness|search for happiness,,2013,6.5
Sebastián Cordero,97,Michael Nyqvist,12547542013, Sci-Fi | Thriller,Sharlto Copley,Europa Report,Christian Camargo,0,alien|spacewalk|trapped in space|spaceship pilot|zero gravity,,2013,6.5
Mrigdeep Singh Lamba,139,Manjot Singh,124221282013, Comedy | Drama | Romance,Pulkit Samrat,Fukrey,Ali Fazal,1,,,2013,6.9
Duane Adler,110,BoA,122293252014, Drama | Musical | Romance,Derek Hough,Make Your Move,Will Yun Lee,0,dancing|dancer|imperative in title,15000000,2014,5.7
Alberto Arvelo,119,Erich Wildpret,113067102014, Biography | Drama | History,Edgar Ramírez,The Liberator,María Valverde,1,south america|army|battle|simon bolivar|female rear nudity,50000000,2014,7.0
Zaza Urushadze,87,Elmo Nüganen,112818192015, Drama | War,Lembit Ulfsak,Mandariinid,Giorgi Nakashidze,0,tea drinking|tangerine|georgia|1990s|wood chopping,650000,2015,8.3
Andrew Bujalski,92,Tom Fletcher,10121882013, Comedy,Kriss Schludermann,Computer Chess,Wiley Wiggins,0,chess|technology|chess tournament|computer chess|computer,,2013,6.3
Jorge Ramírez Suárez,120,Ingeborg Schöner,10041262015, Drama,Kristyan Ferrer,"Guten Tag, Ramón",Adriana Barraza,0,,4000000,2014,7.7
Jean-Pierre Jeunet,105,Helena Bonham Carter,99462282015, Action | Adventure | Drama | Family,Kyle Catlett,The Young and Prodigious T.S. Spivet,Judy Davis,0,train|smithsonian|cartographer|3 dimensional|punctuation in title,33000000,2015,7.1
Remo,160,Ganesh Acharya,9523682013, Drama | Musical,Prabhudheva,ABCD (Any Body Can Dance),Kay Kay Menon,0,,,2013,6.4
Calin Peter Netzer,112,Bogdan Dumitrache,94853252014, Drama,Luminita Gheorghiu,Pozitia copilului,Natasa Raab,1,corruption|children|mother son relationship|cellphone|killed in a car accident,850000,2013,7.5
Timothy A. Chey,90,Mary Grace,92100312014, Thriller,Jah Shams,Final: The Rapture,Carman,0,rapture|christianity|rapture aftermath|christian film|island,,2013,5.9
Zhangke Jia,133,Wang Bao-Qiang,91714222013, Drama,Wu Jiang,Tian zhu ding,Tao Zhao,0,modern china|china|violence|injustice|post communism,,2013,7.2
David Frankel,103,Alexandra Roach,8972272014, Biography | Comedy | Drama | Music,James Corden,One Chance,Julie Walters,0,opera singer|based on fact|talent show|best friend|welshman,,2013,6.8
Jeremy Leven,101,Vincenzo Amato,89378112014, Comedy | Drama | Romance,Nora Tschirner,Girl on a Bicycle,Louise Monot,0,love|accident|female nudity|bathtub|chaos,,2013,6.2
R. Kannan,136,Hansika Motwani,87260262013, Comedy | Crime,Arya,Settai,Anjali,0,,,2013,4.6
Joe Lynch,,Steve Zahn,8679672014, Adventure | Comedy | Fantasy | Horror,Ryan Kwanten,Knights of Badassdom,Peter Dinklage,0,demon|summoning a demon|ritual|what happened to epilogue|gem,,2014,5.7
Alexandre Moors,93,Tequan Richmond,86749112013, Biography | Crime | Drama,Isaiah Washington,Blue Caprice,Tim Blake Nelson,0,sniper|man boy relationship|suicide attempt by drowning|color in title|killer,,2015,6.0
Jay Chou,120,Eric Tsang,8575522013, Action | Comedy | Drama | Musical | Thriller,Jay Chou,Tian tai ai qing,Xueqi Wang,0,,,2013,6.0
Giuseppe Tornatore,131,Jim Sturgess,8543372014, Crime | Drama | Mystery | Romance,Geoffrey Rush,The Best Offer,Sylvia Hoeks,1,older man younger woman relationship|plot twist|art|antique|heiress,13500000,2014,7.8
Hark Tsui,134,Chien Sheng,81983112013, Action | Adventure | Drama | Fantasy,Carina Lau,Di Renjie: Shen du long wang,Mark Chao,0,sea monster|monster|sea|detective|chinese emperor,,2013,6.5
Richard Montoya,88,Nicholas Gonzalez,79043162014, Crime | Drama,Enrique Murciano,Water & Power,Emilio Rivera,1,,,2014,6.2
Jim Mickle,105,Ambyr Childers,76633252013, Drama | Horror | Thriller,Bill Sage,We Are What We Are,Julia Garner,0,cannibalism|death|full frontal female nudity|creek|bone,,2013,5.8
Jamie Chambers,90,Scarlett Mack,7500082015, Drama,Andrew Rothney,Blackbird,Norman Maclean,0,,,2014,7.8
Jérôme Bonnell,104,Gabriel Byrne,74709202014, Drama | Romance,Emmanuelle Devos,Le temps de l'aventure,Gilles Privat,0,,,2014,6.6
Paul Stehlik Jr.,90,Megan Parker,7060082013, Drama,Andrew Cheney,Seasons of Gray,Akron Watson,0,,500000,2013,6.4
James Ward Byrkit,89,Maury Sterling,68877182014, Mystery | Sci-Fi | Thriller,Emily Baldoni,Coherence,Nicholas Brendon,0,parallel universe|quantum physics|comet|dinner party|alternate reality,,2014,7.2
János Szász,109,András Gyémánt,6527072014, Drama | War,László Gyémánt,A nagy füzet,Piroska Molnár,0,family relationships|world war two|survival|twins|death,953000000,2013,7.0
Jonathan Sobol,90,Jay Baruchel,61446212014, Comedy | Crime,Kurt Russell,The Art of the Steal,Katheryn Winnick,0,heist|thief|motorcycle|reference to virgil|reference to eduardo de valfierno,,2014,6.3
Keanu Reeves,105,Keanu Reeves,6105412013, Action | Drama,Tiger Hu Chen,Man of Tai Chi,Karen Mok,2,tai chi|temple|fight club|student|martial artist,25000000,2013,6.1
Philippe Garrel,77,Anna Mouglalis,60426262014, Drama,Louis Garrel,La jalousie,Rebecca Convenant,1,attempted suicide|gun|small apartment|dumped by lover|dumped by girlfriend,4000000,2014,6.3
Kevin Macdonald,101,Tom Holland,60213292013, Drama | Romance | Thriller,Saoirse Ronan,How I Live Now,George MacKay,0,incest|love|england|countryside|survival,,2013,6.5
Richie Mehta,96,Tannishtha Chatterjee,59808222014, Drama,Rajesh Tailang,Siddharth,Anurag Arora,0,india|broken zipper|zipper|12 year old|missing son,,2014,7.2
Philippe Le Guay,104,Lambert Wilson,5962412014, Comedy | Drama,Fabrice Luchini,Bicycling with Molière,Maya Sansa,0,yves montand's song|la rochelle france|moliere|reference to louis jouvet|tour de force,,2013,6.6
David Wnendt,109,Christoph Letkowski,59437282014, Comedy | Drama,Carla Juri,Feuchtgebiete,Marlen Kruse,1,hygiene|pink panties|pubic hair|nudity|bleeding,,2013,5.8
E.L. Katz,88,Ethan Embry,5937992014, Comedy | Crime | Drama | Horror | Thriller,Pat Healy,Cheap Thrills,Sara Paxton,2,sex|extramarital affair|cocaine|shooting|violence,200000,2014,6.8
Alex van Warmerdam,113,Hadewych Minis,56474252014, Drama | Thriller,Jan Bijvoet,Borgman,Jeroen Perceval,1,bare breasts|male rear nudity|male nudity|bedtime story|female nudity,3100000,2013,6.8
Daniel Noah,83,Kerry Bishé,56365232016, Comedy | Drama,Jerry Lewis,Max Rose,Kevin Pollak,0,widower|character name in title,,2016,6.6
John Sayles,,Yolonda Ross,55963202013, Crime | Drama | Thriller,LisaGay Hamilton,Go for Sisters,Edward James Olmos,0,,,2013,6.3
Kyle Patrick Alvarez,88,Denis O'Hare,55301112013, Comedy | Drama,Jonathan Groff,C.O.G.,Corey Stoll,1,faith|apple orchard|oregon|apple farm|crush,,2013,5.6
Anthony Chen,99,Tian Wen Chen,54071112014, Drama,Yann Yann Yeo,Ilo Ilo,Angeli Bayani,0,singapore|maid|money problems|husband wife relationship|father son relationship,,2013,7.3
Bryan Ramirez,,Walter Perez,53668272013, Action | Crime | Thriller,Jeremy Ray Valdez,Line of Duty,Fernanda Romero,0,,2500000,2013,5.2
Biyi Bandele,111,Thandie Newton,5364582014, Drama | History | Romance,Chiwetel Ejiofor,Half of a Yellow Sun,Anika Noni Rose,0,nigeria|nigerian civil war|biafra|color in title,1270000000,2014,6.1
Liza Johnson,104,Guy Pearce,50573162014, Drama | Romance,Kristen Wiig,Hateship Loveship,Hailee Steinfeld,0,baby crying|woman on top|red car|scene during end credits|cash,5000000,2014,6.1
Chris Eska,92,Tishuan Scott,50257262014, Drama | History | Western,Ashton Sanders,The Retrieval,Keston John,0,bounty hunter|civil war|year 1864|uncle nephew relationship|two word title,,2014,6.6
Nana Ekvtimishvili,102,Mariam Bokeria,5000022014, Drama,Lika Babluani,Grzeli nateli dgeebi,Zurab Gogaladze,0,female protagonist|murder|marriage|gun|classroom,,2014,7.8
Dennie Gordon,114,Leehom Wang,50000202013, Action | Adventure | Comedy | Romance,Ziyi Zhang,Fei chang xing yun,Terri Kwan,2,,,2013,5.1
Adam Rodgers,99,Vera Farmiga,4995372014, Comedy | Romance,Andy Garcia,At Middleton,Taissa Farmiga,0,mother daughter relationship|father son relationship|college campus|middle age romance|heart surgeon,2500000,2014,6.5
Paul Schrader,99,James Deen,49494232013, Drama | Thriller,Lindsay Lohan,The Canyons,Nolan Gerard Funk,0,penis|pubic hair|psychopath|cocaine|homosexual,250000,2013,3.9
Roberto Andò,94,Valerio Mastandrea,4812592015, Comedy | Drama,Toni Servillo,Viva la libertà,Valeria Bruni Tedeschi,0,politician|twin brothers|mental instability|bare bottom|bare ass,5000000,2013,7.1
François Ozon,95,Géraldine Pailhas,48022302014, Drama | Romance,Marine Vacth,Young & Beautiful,Frédéric Pierrot,1,male nudity|student prostitute|france|coming of age|sex scene,,2014,6.8
Alê Abreu,80,Marco Aurélio Campos,47618292016, Animation | Adventure | Family,Vinicius Garcia,O Menino e o Mundo,Lu Horta,0,very little dialogue|city|fireworks|little boy|invented language,,2014,7.6
Erik Poppe,117,Juliette Binoche,4733172014, Drama | War,Nikolaj Coster-Waldau,"1,000 Times Good Night",Maria Doyle Kennedy,2,war photographer|photographer|child suicide bomber|cat|campfire,5284200,2014,7.1
Jonathan Demme,130,Julie Hagerty,46874102014, Drama,Wallace Shawn,A Master Builder,Lisa Joyce,1,,,2014,6.0
Bruno Barreto,118,Miranda Otto,43838292013, Biography | Drama | Romance,Glória Pires,Flores Raras,Tracy Middendorf,0,lesbian|poetry|alcoholism|female poet|female architect,,2013,7.0
Jingming Guo,113,Amber Kuo,43788302013, Drama | Romance,Mi Yang,Tiny Times 2.0,Kai Ko,0,shanghai|business|youth|friendship,25000000,2013,3.4
Guillaume Canet,127144,Marion Cotillard,41229282014, Crime | Drama | Thriller,Clive Owen,Blood Ties,Billy Crudup,0,murder|1970s|flashback|love|money,25500000,2013,6.5
James Franco,60,Christian Patrick,40862112014, Drama,Val Lauren,Interior. Leather Bar.,James Franco,0,pubic hair|male pubic hair|penis|male nudity|male frontal nudity,,2013,5.1
Randall Miller,101,Malin Akerman,40400182013, Drama | Music,Alan Rickman,CBGB,Justin Bartha,0,club|punk|blondie|nightclub|punk rock,5000000,2013,6.6
Steven Bernstein,91,Samantha Morton,3985092014, Drama,Helen Hunt,Decoding Annie Parker,Aaron Paul,2,cancer|arena|dna testing|dna analysis|dna,2000000,2014,6.3
Stacie Passon,96,Maggie Siff,38361182013, Drama,Robin Weigert,Concussion,Johnathan Tchaikovsky,0,lesbian|pseudonym|double life|lesbian prostitute|baseball,,2013,5.7
James Franco,104,Tim Blake Nelson,3794982014, Crime | Drama | Thriller,Scott Haze,Child of God,James Franco,1,cave|necrophilia|rifle|outlaw|sevierville tennessee,,2014,5.5
Pif,90,Pif,3713482015, Comedy | Crime,Cristiana Capotondi,La mafia uccide solo d'estate,Alex Bisconti,1,,,2015,7.2
Annette Haywood-Carter,101,Chiwetel Ejiofor,36746202013, Drama | Family | History | Romance,Jim Caviezel,Savannah,Jaimie Alexander,2,river|friend|plantation|shotgun|hunter,5000000,2014,6.0
Herman Yau,100,Gillian Chung,36041112013, Action | Biography | Drama,Anthony Chau-Sang Wong,Yip Man: Jung gik yat jin,Jordan Chan,0,,,2013,6.2
Lynn Shelton,88,Ellen Page,35022112013, Drama,Rosemarie DeWitt,Touchy Feely,Josh Pais,0,massage therapist|massage|touch|reiki|masseuse,,2014,5.3
Steven Knight,100,Agata Buzek,3495652013, Action | Crime | Drama | Thriller,Jason Statham,Redemption,Vicky McClure,0,on the run|ex special forces|soldier|vomiting|deception,20000000,2013,6.2
Doug Dearth,102,William Mapother,3481062013, Drama | Family | Sport,D.B. Sweeney,Underdogs,Richard Portnow,0,ohio|high school football|coach|high school|fired,2500000,2013,5.9
Jon S. Baird,97,Jamie Bell,34321182014, Comedy | Crime | Drama,James McAvoy,Filth,Eddie Marsan,0,freemasonry|drunkenness|drugged drink|male frontal nudity|woman on top,5000000,2014,7.1
David Mackenzie,106,Ben Mendelsohn,3410052014, Crime | Drama,Jack O'Connell,Starred Up,Rupert Friend,0,prison|male frontal nudity|therapist|male nudity|violence,,2014,7.4
Michael Polish,81,Kate Bosworth,33621152013, Drama | Romance,Jean-Marc Barr,Big Sur,Josh Lucas,0,big sur|cabin|beat generation|poet|place name in title,,2013,5.9
Megan Griffiths,97,Thomas Haden Church,3285342014, Drama,Toni Collette,Lucky Them,Nina Arianda,0,ex boyfriend|journalist|camera glasses|reference to bryan adams|caught in bed,,2014,6.1
Aharon Keshales,110,Rotem Keinan,32828212014, Comedy | Crime | Thriller,Lior Ashkenazi,Big Bad Wolves,Tzahi Grad,0,teacher|police detective|revenge|murder|satire,,2013,6.8
Dan Mazer,97,Rafe Spall,32514132013, Comedy | Romance,Rose Byrne,I Give It a Year,Alex Macqueen,0,male nudity|male pubic hair|pubic hair|friend|couple,,2013,5.7
Aditya Datt,108,Rajeev Khandelwal,3165842013, Adventure | Thriller,Paresh Rawal,Table No. 21,Tina Desai,0,vacation|ragging|digit in title|number in title,,2013,7.1
Catherine Breillat,105,Kool Shen,31430172014, Drama,Isabelle Huppert,Abus de faiblesse,Laurence Ursino,1,filmmaker|con man|title directed by female|divorce|christmas tree,,2014,5.8
Eliza Hittman,82,Giovanna Salimeni,31173252014, Drama,Gina Piersanti,It Felt Like Love,Ronen Rubinstein,1,male nudity|male frontal nudity|dance|lie|beach,,2014,5.5
Ben Wheatley,90,Peter Ferdinando,30716142014, Drama | History | Horror | Mystery,Julian Barratt,A Field in England,Richard Glover,0,occultism|vomiting stones|costume horror|black sun|diseased penis,316000,2013,6.3
Leone Marucci,96,Juvenile,30444222013, Action | Crime | Drama | Mystery | Thriller,Christopher Walken,The Power of Few,Christian Slater,1,new orleans|medicine|crime drama|vatican,4000000,2013,5.4
Sion Sono,129,Fumi Nikaidou,2853462015, Action | Comedy | Drama | Horror,Jun Kunimura,Jigoku de naze warui,Shin'ichi Tsutsumi,0,yakuza|tracksuit|cutting wrist|neck slashing|prison,,2014,7.2
Diane Kurys,110,Mélanie Thierry,28131112014, Drama,Benoît Magimel,Pour une femme,Nicolas Duvauchelle,2,book|perfume bottle|sex standing up|watching television|flashback,,2014,6.5
Aron Gaudet,116,Callan McAuliffe,2811622014, Drama | Romance,Emory Cohen,Beneath the Harvest Sky,Kymberli Bryant,0,harvest|potato|maine|drugs|friendship,,2014,6.2
Jafar Panahi,106,Maryam Moqadam,28098252014, Drama,Kambuzia Partovi,Pardé,Jafar Panahi,0,,,2014,6.6
Mark Steven Johnson,91,John Travolta,27713122013, Action | Drama | Thriller,Robert De Niro,Killing Season,Milo Ventimiglia,0,bosnian war|shrapnel|execution|revenge|flashback,,2013,5.4
Ruairi Robinson,98,Elias Koteas,23838102014, Horror | Sci-Fi | Thriller,Liev Schreiber,The Last Days on Mars,Romola Garai,1,mars|astronaut|zombie|alien infection|mission,7000000,2013,5.5
Jingming Guo,116,Amber Kuo,23462302013, Drama | Romance,Mi Yang,Tiny Times 1.0,Kai Ko,0,friendship|money,45000000,2013,2.9
Arnaud Desplechin,117,Mathieu Amalric,2322072014, Drama,Benicio Del Toro,Jimmy P.,Gina McKee,0,native american|world war two|france|psycho analysis|dreams,10000000,2013,6.1
Hitoshi Matsumoto,99,Mao Daichi,2277062015, Comedy | Drama,Nao Ohmori,R100,Shinobu Terajima,0,coma|swimming pool|spitting|sushi|one word title,5500000,2015,6.1
Eugenio Mira,90,John Cusack,22353112014, Music | Mystery | Thriller,Elijah Wood,Grand Piano,Kerry Bishé,1,stage|pianist|stage fright|die hard scenario|falling to death,,2013,5.9
Cherien Dabis,99,James Garson Chick,2200452014, Comedy | Drama,Hiam Abbass,May in the Summer,Cherien Dabis,1,,,2013,5.7
Matthew Porterfield,89,Hannah Gross,2196482013, Drama | Music,Deragh Campbell,I Used to Be Darker,Ned Oldham,0,runaway|family relationships|claim in title,,2013,5.6
Bruno Dumont,95,Jean-Luc Vincent,21960222013, Biography | Drama,Juliette Binoche,Camille Claudel 1915,Armelle Leroy-Rolland,1,france|religious institution|nun|estranged mother|separation from family,3200000,2013,6.5
Simon Barrett,96,Kelsy Abbott,21368262013, Horror | Thriller,Lawrence Michael Levine,V/H/S/2,Adam Wingard,0,mountain biking|helmet camera|point of view|vhs tape|vhs,,2013,6.1
Jacob Vaughan,85,Gillian Jacobs,1961312013, Comedy | Horror,Ken Marino,Bad Milo,Patrick Warburton,1,,,2013,5.7
Roger Gual,85,Claudia Bassols,18686132014, Comedy,Jan Cornet,Tasting Menu,Vicenta N'Dongo,0,,2700000,2013,5.7
Chris Mason Johnson,89,Matthew Risch,18172272014, Drama,Scott Marlowe,Test,Evan Boomer,0,gay|marijuana|reel to reel tape|walkman|blow job,250000,2014,6.3
Stephen Chow,110,Qi Shu,1773442014, Action | Adventure | Comedy | Drama | Fantasy | Horror | Romance,Zhang Wen,Journey to the West,Bo Huang,0,demon|demon hunter|buddhism|monkey king|hunter,,2013,6.8
Scott Coffey,97,Evan Peters,1674072014, Comedy | Drama,Emma Roberts,Adult World,John Cusack,3,independent film|college|two word title|female protagonist|poetry,,2014,6.2
Robin Campillo,128,Kirill Emelyanov,1617312015, Crime | Drama | Romance | Thriller,Olivier Rabourdin,Eastern Boys,Daniil Vorobyov,1,ukrainian|police raid|fear|nightmare|war trauma,2300000,2014,7.2
Drake Doremus,98,Guy Pearce,15324282014, Drama | Romance,Felicity Jones,Breathe In,Mackenzie Davis,0,foreign exchange student|teacher student relationship|midlife crisis|older man younger woman relationship|classical concert,,2013,6.4
Jeff Garlin,88,Steve Agee,15308192013, Comedy,Jeff Garlin,Dealin' with Idiots,Gina Gershon,0,baseball|baseball team|comedian|father son relationship|mother son relationship,,2013,5.4
James Franco,110,Tim Blake Nelson,15009182013, Drama,James Franco,As I Lay Dying,Jim Parrack,1,broken leg|unplanned pregnancy|horse and wagon|transporting a dead body|death of mother,5000000,2013,5.4
Alicia Scherson,94,Luigi Ciardo,13983152013, Drama,Manuela Martelli,Il Futuro,Rutger Hauer,1,mansion|orphan|older man younger woman relationship|thief|erotica,,2013,5.8
Tomas Herrera,,John Anderson,1249792013, Comedy,Gregg Adams,Whensday,Bryan Bermingham,0,,4000,2013,7.5
Claire Denis,100,Chiara Mastroianni,1224712013, Drama | Romance,Vincent Lindon,Les salauds,Julie Bataille,1,male frontal nudity|suicide|murder|rape|female frontal nudity,,2013,6.1
Benedikt Erlingsson,81,Charlotte Bøving,11835172015, Comedy | Drama | Romance,Ingvar Eggert Sigurðsson,Hross í oss,Johann Pall Oddson,0,snowstorm|horse|barbed wire fence|barbed wire|nature,10000000,2015,6.9
David Trueba,108,Natalia de Molina,11600272014, Comedy | Drama,Javier Cámara,Vivir es fácil con los ojos cerrados,Francesc Colomer,0,hitchhiker|english teacher|runaway boy|hitchhiking|reference to the beatles,,2013,7.0
Claudia Sainte-Luce,89,Ximena Ayala,11278112014, Comedy | Drama,Lisa Owen,Los insólitos peces gato,Sonia Franco,0,hospital|supermarket|appendicitis|actress shares first name with character|loss of mother,1300000,2014,7.0
Jenée LaMarque,90,Jake Johnson,11186212014, Comedy | Drama,Zoe Kazan,The Pretty One,Ron Livingston,0,,,2014,6.3
James E. Duff,73,Mahira Kakkar,10544182014, Comedy | Romance,Andrew Pastides,Hank and Asha,Brian Sloan,0,love|student|prague|indian|video message,,2013,6.5
Clio Barnard,91,Shaun Thomas,1053132014, Drama,Conner Chapman,The Selfish Giant,Sean Gilder,0,horse|boy|scrap metal|working class|best friend,,2013,7.3
Michael Winterbottom,101,Matt Lucas,10379122013, Biography | Comedy | Drama,Steve Coogan,The Look of Love,Anna Friel,0,britain|philandering|voyeur|upskirt|mini dress,,2013,6.0
David M. Rosenthal,116,Jeffrey Wright,10020202013, Crime | Drama | Thriller,Sam Rockwell,A Single Shot,Kelly Reilly,0,tied feet|based on novel,,2013,5.8
Jamie Babbit,113,Gillian Jacobs,9873282013, Comedy,Busy Philipps,Made in Cleveland,Patrick Antone,2,,,2013,6.5
Julien Leclercq,116,Tahar Rahim,9770252013, Crime | Thriller,Gilles Lellouche,Gibraltar,Riccardo Scamarcio,3,border patrol|informant|punctuation in title|apostrophe in title|one word title,,2013,6.3
Omid Nooshin,97,Kara Tointon,9326252014, Action | Mystery | Thriller,Dougray Scott,Last Passenger,Iddo Goldberg,2,train|die hard scenario|suspense|runaway train|independent film,2500000,2014,5.7
Marion Vernoux,94,Laurent Lafitte,905922014, Drama | Romance,Fanny Ardant,Les beaux jours,Patrick Chesnais,0,depression|dentist|skinny dipping|male nudity|male frontal nudity,,2013,6.2
Ti West,99,AJ Bowen,9039272014, Horror | Thriller,Joe Swanberg,The Sacrament,Kentucker Audley,0,immolation|brainwashing|cult|parish|journalist,4000000,2014,6.1
Joel Karekezi,77,Okuyo Joel Atiku Prynce,8845212015, Drama,Wilson Egessa,Imbabazi,Rehema Nanfuka,1,,,2013,7.7
Eytan Fox,92,Keren Berger,8817242015, Comedy | Music,Dana Ivgy,Cupcakes,Yael Bar-Zohar,0,parody|israel|friendship|friend|homosexual,2200000,2015,6.0
Aaron Wilson,84,Morning Tzu-Yi Mo,8462122014, Adventure | Drama | Thriller | War,Khan Chittenden,Canopy,Robert Menzies,0,singapore|jungle|escape|capture|chase,1300000,2014,4.9
Steph Green,106,Edward MacLiam,824372014, Drama,Maxine Peake,Run & Jump,Will Forte,0,38 year old|american|stroke|ireland|research grant,,2014,6.3
Fredrik Bond,103,Evan Rachel Wood,7973152013, Comedy | Drama | Romance | Thriller,Shia LaBeouf,Charlie Countryman,Mads Mikkelsen,0,romanian|reference to the chicago cubs|burning a video tape|bloody face|hanging upside down,,2013,6.4
Anthony Leonardi III,100,James Tupper,788642013, Horror,Anne Heche,Nothing Left to Fear,Ethan Peck,0,church|famliy|zombie|three word title,3000000,2013,4.4
Aarón Fernández Lesur,101,Adriana Paz,787982014, Drama | Romance,Kristyan Ferrer,Las horas muertas,Eliseo Lara Martínez,0,motel|seduction|seaside|young man older woman friendship|female nudity,,2014,6.4
Nicole Garcia,95,Louise Bourgoin,771422015, Drama,Pierre Rochefort,Un beau dimanche,Dominique Sanda,0,11 year old|neglected child|rejected son|boy|beach,,2014,6.3
