director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Joe Smalley,78,Chris Perry,, Horror | Mystery | Thriller,Josh Folan,Episode 50,Natalie Wetta,digit in title|two word title|number in title,74000,2011,3.1
Cláudio Assis,110,Juliano Cazarré,, Drama,Irandhir Santos,A Febre do Rato,Matheus Nachtergaele,urination|threesome|female pubic hair|penis|counter culture,,2012,7.2
Amir Valinia,,Mark Sheppard,, Horror | Sci-Fi | Thriller,Lochlyn Munro,Xtinction: Predator X,Elena Lyons,alligator|tough girl|swamp|swamp boat|sheriff,2500000,2011,2.7
Tetsuya Yanagisawa,97,Kara Edwards,, Animation | Comedy | Fantasy | Romance,Greg Ayres,Gekijouban Sora no otoshimono: Tokei jikake no enjeroido,Saori Hayami,ecchi|wings|teenage protagonist|wish fulfillment|japanese,,2011,7.2
David Christiaan,,David A.R. White,, Comedy | Drama | Romance,Jeff Fahey,Marriage Retreat,Anna Zielinski,marriage|retreat|marital problem|christian|giving birth,2000000,2011,5.4
Lena Koppel,101,Vanna Rosenberg,, Comedy | Drama | Music,Sverrir Gudnason,Hur många lingon finns det i världen?,Mats Melin,train ride|loss of job|tying shoelaces|job interview|loss of friend,6000000,2011,6.0
Djamel Bensalah,,Issa Doumbia,, Comedy | Crime,Booder,Beur sur la ville,Steve Tran,severed head|women's soccer|drug|murderer|murder,,2011,4.7
Lijun Sun,,Tom Arnold,, Animation | Action | Adventure | Comedy | Family,Jon Heder,Legend of Kung Fu Rabbit,Rebecca Black,furry|anthropomorphic animal|china|rabbit,,2011,3.2
David Mueller,96,Patricia Richardson,, Adventure | Drama,Aimee Teegarden,Beautiful Wave,Ben Milliken,surfing|two word title,,2011,5.1
Sonny Laguna,80,Elin Hugoson,, Horror,Ralf Beck,Blood Runs Cold,Hanna Oldenburg,three word title|killer|winter,5000,2013,4.1
Nick Stagliano,,Hal Holbrook,, Crime | Thriller,Robert Patrick,Good Day for It,Jared Acosta,,2500000,2011,5.7
Frédéric Berthe,107,Jamel Debbouze,, Comedy,Florence Foresti,Hollywoo,Nikki Deloach,one word title,,2011,5.0
Roel Reiné,90,Levi Fiehler,, Horror | Thriller,Alicia Ziegler,Wolf Town,Max Adler,western town|pursued by wolves|animal attack,,2012,3.1
John Penney,93,Cary Elwes,, Fantasy | Horror | Thriller,William Hurt,Hellgate,Ploy Jindachote,,5000000,2011,4.5
Hitoshi Ohne,118,Masami Nagasawa,, Comedy | Romance,Mirai Moriyama,Moteki,Kumiko Asô,virgin|otaku|one word title,,2011,6.8
Gale Edwards,,Isabel Lucas,, Comedy | Musical,Sebastian Gregory,A Heartbeat Away,William Zappa,,8000000,2011,4.4
